CAS,Category,Year
50-00-0,AccidentAndToxic,
60-34-4,AccidentAndToxic,
64-18-6,AccidentOnly_2015,2015
67-56-1,AccidentAndToxic,
71-43-2,AccidentAndToxic,
74-87-3,AccidentAndToxic,
74-89-5,AccidentOnly_2015,2015
74-90-8,AccidentOnly_2015,2015
75-01-4,AccidentAndToxic,
75-15-0,AccidentAndToxic,
75-21-8,AccidentAndToxic,
75-44-5,AccidentAndToxic,
75-50-3,AccidentOnly_2015,2015
75-56-9,AccidentAndToxic,
78-93-3,AccidentAndToxic,
78-94-4,AccidentAndToxic,
79-10-7,AccidentOnly_2015,2015
96-33-3,AccidentOnly_2015,2015
98-95-3,AccidentAndToxic,
99-99-0,AccidentAndToxic,
100-44-7,AccidentOnly_2015,2015
107-02-8,AccidentAndToxic,
107-05-1,AccidentOnly_2015,2015
107-13-1,AccidentAndToxic,
107-15-3,AccidentOnly_2015,2015
107-18-6,AccidentAndToxic,
108-39-4,AccidentOnly_2015,2015
108-88-3,AccidentAndToxic,
108-95-2,AccidentAndToxic,
109-73-9,AccidentOnly_2015,2015
121-44-8,AccidentOnly_2015,2015
141-78-6,AccidentAndToxic,
143-33-9,AccidentOnly_2015,2015
151-56-4,AccidentOnly_2015,2015
584-84-9,AccidentAndToxic,
630-08-0,AccidentOnly_2015,2015
814-68-6,AccidentOnly_2015,2015
1314-84-7,AccidentAndToxic,
1338-23-4,AccidentOnly_2015,2015
4098-71-9,AccidentAndToxic,
7440-23-5,AccidentAndToxic,
7647-01-0,AccidentAndToxic,
7664-39-3,AccidentAndToxic,
7664-41-7,AccidentAndToxic,
7664-93-9,AccidentAndToxic,
7697-37-2,AccidentAndToxic,
7719-12-2,AccidentAndToxic,
7782-41-4,AccidentOnly_2015,2015
7782-50-5,AccidentOnly_2015,2015
7783-06-4,AccidentOnly_2015,2015
7784-42-1,AccidentOnly_2015,2015
7790-94-5,AccidentAndToxic,
7803-51-2,AccidentAndToxic,
10025-87-3,AccidentAndToxic,
10049-04-4,AccidentAndToxic,
19287-45-7,AccidentOnly_2015,2015
10102-43-9,AccidentOnly_2015,2015
75-52-5,AccidentOnly_2015,2015
6484-52-2,AccidentOnly_2015,2015
100-97-0,AccidentOnly_2015,2015
7722-84-1,AccidentAndToxic,
3811-04-9,AccidentOnly_2015,2015
7757-79-1,AccidentOnly_2015,2015
7778-74-7,AccidentOnly_2015,2015
7722-64-7,AccidentOnly_2015,2015
7775-09-9,AccidentOnly_2015,2015
7631-99-4,AccidentOnly_2015,2015
107-44-8,AccidentOnly_2015,2015
506-77-4,AccidentAndToxic,
13463-39-3,AccidentAndToxic,
7782-65-2,AccidentOnly_2019,2019
116-14-3,AccidentOnly_2019,2019
7637-07-2,AccidentAndToxic,
10294-34-5,AccidentOnly_2019,2019
685-63-2,AccidentAndToxic,
7726-95-6,AccidentAndToxic,
7783-07-5,AccidentOnly_2019,2019
78-79-5,AccidentOnly_2019,2019
75-35-4,AccidentOnly_2019,2019
107-46-0,AccidentOnly_2019,2019
13463-40-6,AccidentOnly_2019,2019
7789-30-2,AccidentOnly_2019,2019
7719-09-7,AccidentAndToxic,
7550-45-0,AccidentOnly_2019,2019
76-06-2,AccidentAndToxic,
109-92-2,AccidentOnly_2019,2019
7803-62-5,AccidentOnly_2019,2019
1590-87-0,AccidentOnly_2019,2019
4109-96-0,AccidentOnly_2019,2019
10025-78-2,AccidentOnly_2019,2019
75-54-7,AccidentOnly_2019,2019
75-79-6,AccidentOnly_2019,2019
75-94-5,AccidentOnly_2019,2019
115-21-9,AccidentOnly_2019,2019
75-76-3,AccidentOnly_2019,2019
10026-04-7,AccidentOnly_2019,2019
7783-61-1,AccidentOnly_2019,2019
1313-60-6,ToxicOnly,
124-43-6,ToxicOnly,
13516-27-3,ToxicOnly,
111-30-8,ToxicOnly,
106-90-1,ToxicOnly,
300-76-5,ToxicOnly,
54-11-5,ToxicOnly,
1754-58-1,ToxicOnly,
333-41-5,ToxicOnly,
80060-09-9,ToxicOnly,
10311-84-9,ToxicOnly,
31512-74-0,ToxicOnly,
52918-63-5,ToxicOnly,
2439-10-3,ToxicOnly,
5707-69-7,ToxicOnly,
111-92-2,ToxicOnly,
131-89-5,ToxicOnly,
973-21-7,ToxicOnly,
88-85-7,ToxicOnly,
39300-45-3,ToxicOnly,
1420-07-1,ToxicOnly,
50-29-3,ToxicOnly,
122-15-6,ToxicOnly,
60-51-5,ToxicOnly,
17040-19-6,ToxicOnly,
8022-00-2,ToxicOnly,
8065-48-3,ToxicOnly,
644-64-4,ToxicOnly,
2274-67-1,ToxicOnly,
115-26-4,ToxicOnly,
85-00-7,ToxicOnly,
298-04-4,ToxicOnly,
3078-97-5,ToxicOnly,
534-52-1,ToxicOnly,
60-57-1,ToxicOnly,
74-94-2,ToxicOnly,
3811-49-2,ToxicOnly,
6988-21-2,ToxicOnly,
78-34-2,ToxicOnly,
822-06-0,ToxicOnly,
115-32-2,ToxicOnly,
141-66-2,ToxicOnly,
79-43-6,ToxicOnly,
62-73-7,ToxicOnly,
97-17-6,ToxicOnly,
3347-22-6,ToxicOnly,
97886-45-8,ToxicOnly,
82-66-6,ToxicOnly,
56073-07-5,ToxicOnly,
119446-68-3,ToxicOnly,
25999-31-9,ToxicOnly,
10453-86-8,ToxicOnly,
21609-90-5,ToxicOnly,
83-79-4,ToxicOnly,
330-55-2,ToxicOnly,
608-73-1,ToxicOnly,
121-75-5,ToxicOnly,
123-33-1,ToxicOnly,
109-77-3,ToxicOnly,
505-60-2,ToxicOnly,
2487-01-6,ToxicOnly,
68-11-1,ToxicOnly,
2595-54-2,ToxicOnly,
51-75-2,ToxicOnly,
66952-49-6,ToxicOnly,
10265-92-6,ToxicOnly,
126-98-7,ToxicOnly,
108-62-3,ToxicOnly,
16752-77-5,ToxicOnly,
950-37-8,ToxicOnly,
2032-65-7,ToxicOnly,
57-39-6,ToxicOnly,
96-34-4,ToxicOnly,
953-17-3,ToxicOnly,
950-10-7,ToxicOnly,
315-18-4,ToxicOnly,
17090-79-8,ToxicOnly,
6923-22-4,ToxicOnly,
2212-67-1,ToxicOnly,
1333-82-0,ToxicOnly,
2275-23-2,ToxicOnly,
8014-95-7,ToxicOnly,
22781-23-3,ToxicOnly,
741-58-2,ToxicOnly,
140-29-4,ToxicOnly,
29104-30-1,ToxicOnly,
92-87-5,ToxicOnly,
82560-54-1,ToxicOnly,
1861-40-1,ToxicOnly,
122-10-1,ToxicOnly,
52-51-7,ToxicOnly,
56073-10-0,ToxicOnly,
28772-56-7,ToxicOnly,
598-31-2,ToxicOnly,
4824-78-6,ToxicOnly,
63333-35-7,ToxicOnly,
74-83-9,ToxicOnly,
10035-10-6,ToxicOnly,
34681-10-2,ToxicOnly,
8065-36-9,ToxicOnly,
2079-00-7,ToxicOnly,
485-31-4,ToxicOnly,
7440-38-2,ToxicOnly,
106-20-7,ToxicOnly,
111-44-4,ToxicOnly,
542-88-1,ToxicOnly,
39603-48-0,ToxicOnly,
6317-18-6,ToxicOnly,
20816-12-0,ToxicOnly,
56-23-5,ToxicOnly,
13356-08-6,ToxicOnly,
12035-36-8,ToxicOnly,
1313-99-1,ToxicOnly,
12035-72-2,ToxicOnly,
16812-54-7,ToxicOnly,
53003-10-4,ToxicOnly,
2346-99-8,ToxicOnly,
7782-49-2,ToxicOnly,
543-21-5,ToxicOnly,
1310-73-2,ToxicOnly,
1310-58-3,ToxicOnly,
7439-97-6,ToxicOnly,
3689-24-5,ToxicOnly,
35400-43-2,ToxicOnly,
152-16-9,ToxicOnly,
57-24-9,ToxicOnly,
420-04-2,ToxicOnly,
121-82-4,ToxicOnly,
66-81-9,ToxicOnly,
108-91-8,ToxicOnly,
115-93-5,ToxicOnly,
121552-61-2,ToxicOnly,
69581-33-5,ToxicOnly,
68359-37-5,ToxicOnly,
68085-85-8,ToxicOnly,
13121-70-5,ToxicOnly,
494-52-0,ToxicOnly,
62-53-3,ToxicOnly,
2032-59-9,ToxicOnly,
54381-26-9,ToxicOnly,
78-53-5,ToxicOnly,
2813-95-8,ToxicOnly,
563-68-8,ToxicOnly,
7758-19-2,ToxicOnly,
41083-11-8,ToxicOnly,
26628-22-8,ToxicOnly,
86-50-0,ToxicOnly,
101007-06-1,ToxicOnly,
79-06-1,ToxicOnly,
545-55-1,ToxicOnly,
52-46-0,ToxicOnly,
5827-05-4,ToxicOnly,
86-88-4,ToxicOnly,
1646-88-4,ToxicOnly,
309-00-2,ToxicOnly,
116-06-3,ToxicOnly,
83130-01-2,ToxicOnly,
6392-46-7,ToxicOnly,
17109-49-8,ToxicOnly,
50-14-6,ToxicOnly,
67-97-0,ToxicOnly,
79456-26-1,ToxicOnly,
13194-48-4,ToxicOnly,
29973-13-5,ToxicOnly,
563-12-2,ToxicOnly,
106-89-8,ToxicOnly,
115-29-7,ToxicOnly,
145-73-3,ToxicOnly,
2778-04-3,ToxicOnly,
72-20-8,ToxicOnly,
5903-13-9,ToxicOnly,
3033-77-0,ToxicOnly,
13371-17-0,ToxicOnly,
75-00-3,ToxicOnly,
115-78-6,ToxicOnly,
133-59-5,ToxicOnly,
10025-67-9,ToxicOnly,
1121-31-9,ToxicOnly,
1113-02-6,ToxicOnly,
1314-56-3,ToxicOnly,
10026-13-8,ToxicOnly,
1314-80-3,ToxicOnly,
23135-22-0,ToxicOnly,
301-12-2,ToxicOnly,
2674-91-1,ToxicOnly,
81-81-2,ToxicOnly,
74-88-4,ToxicOnly,
10034-85-2,ToxicOnly,
105827-78-9,ToxicOnly,
86598-92-7,ToxicOnly,
2552-55-8,ToxicOnly,
42509-80-8,ToxicOnly,
297-78-9,ToxicOnly,
78-81-9,ToxicOnly,
556-61-6,ToxicOnly,
36614-38-7,ToxicOnly,
25311-71-1,ToxicOnly,
55-91-4,ToxicOnly,
18854-01-8,ToxicOnly,
119-38-0,ToxicOnly,
163831-67-2,ToxicOnly,
1689-83-4,ToxicOnly,
26087-47-8,ToxicOnly,
1341-49-7,ToxicOnly,
2104-64-5,ToxicOnly,
12185-10-3,ToxicOnly,
20859-73-8,ToxicOnly,
52315-07-8,ToxicOnly,
137-30-4,ToxicOnly,
10102-45-1,ToxicOnly,
2439-01-2,ToxicOnly,
106870-78-4,ToxicOnly,
95465-99-9,ToxicOnly,
671-04-5,ToxicOnly,
63-25-2,ToxicOnly,
55285-14-8,ToxicOnly,
786-19-6,ToxicOnly,
1563-66-2,ToxicOnly,
7440-09-7,ToxicOnly,
11135-81-2,ToxicOnly,
15263-53-3,ToxicOnly,
8001-35-2,ToxicOnly,
2425-06-1,ToxicOnly,
133-06-2,ToxicOnly,
81-82-3,ToxicOnly,
5836-29-3,ToxicOnly,
117-52-2,ToxicOnly,
572-48-5,ToxicOnly,
13593-03-8,ToxicOnly,
2797-51-5,ToxicOnly,
1319-77-3,ToxicOnly,
7700-17-6,ToxicOnly,
4170-30-3,ToxicOnly,
535-89-7,ToxicOnly,
15096-52-3,ToxicOnly,
1300-71-6,ToxicOnly,
1330-20-7,ToxicOnly,
107-30-2,ToxicOnly,
79-11-8,ToxicOnly,
1897-45-6,ToxicOnly,
3691-35-8,ToxicOnly,
67-66-3,ToxicOnly,
5836-73-7,ToxicOnly,
96-24-2,ToxicOnly,
57-74-9,ToxicOnly,
6164-98-3,ToxicOnly,
24934-91-6,ToxicOnly,
21923-23-9,ToxicOnly,
470-90-6,ToxicOnly,
2921-88-2,ToxicOnly,
51487-69-5,ToxicOnly,
13071-79-9,ToxicOnly,
96491-05-3,ToxicOnly,
35996-61-3,ToxicOnly,
119168-77-3,ToxicOnly,
127-18-4,ToxicOnly,
731-27-1,ToxicOnly,
66841-25-6,ToxicOnly,
99257-43-9,ToxicOnly,
1031-47-6,ToxicOnly,
112143-82-5,ToxicOnly,
24017-47-8,ToxicOnly,
327-98-0,ToxicOnly,
76-03-9,ToxicOnly,
79-01-6,ToxicOnly,
52-68-6,ToxicOnly,
603-35-0,ToxicOnly,
1582-09-8,ToxicOnly,
1493-13-6,ToxicOnly,
137-26-8,ToxicOnly,
297-97-2,ToxicOnly,
59669-26-0,ToxicOnly,
640-15-3,ToxicOnly,
79-19-6,ToxicOnly,
5349-28-0,ToxicOnly,
31895-21-3,ToxicOnly,
39196-18-4,ToxicOnly,
298-00-0,ToxicOnly,
56-38-2,ToxicOnly,
52-85-7,ToxicOnly,
22224-92-6,ToxicOnly,
