고유번호,화학물질의 명칭,CAS
97-1-1,과산화 나트륨[Sodium peroxide; 1313-60-6] 및 이를 5% 이상 함유한 혼합물,1313-60-6
97-1-2,과산화 수소[Hydrogen peroxide; 7722-84-1] 및 이를 6% 이상 함유한 혼합물,7722-84-1
97-1-3,과산화 우레아[Urea peroxide; 124-43-6] 및 이를 17% 이상 함유한 혼합물,124-43-6
97-1-4,구아자틴[Guazatine; 13516-27-3]과 그 염류 및 그 중 하나를 구아자틴으로서 3.5% 이상 함유한 혼합물,13516-27-3
97-1-5,글루타르알데히드[Glutaraldehyde; 111-30-8] 및 이를 25% 이상 함유한 혼합물,111-30-8
97-1-6,글리시딜 아크릴산[Glycidyl acrylate; 106-90-1] 및 이를 25% 이상 함유한 혼합물,106-90-1
97-1-7,나트륨[Sodium; 7440-23-5] 및 이를 25% 이상 함유한 혼합물,7440-23-5
97-1-8,날레드[Naled; 300-76-5] 및 이를 1% 이상 함유한 혼합물,300-76-5
97-1-9,"사산화납(lead tetraoxide), 황산납(lead sulfate), 염기성탄산납(basic lead carbonate)을 제외한 납화합물(Lead compounds) 및 이를 25% 이상 함유한 혼합물. 다만, 초산납(lead acetate), 알킬화납(lead alkyls), 아지드화납(lead azide), 이초산납(lead di(acetate)), 메탄술폰산납(lead(Ⅲ) methansulfonate), 인산납(lead phosphate(3:2)), 스티핀산납(lead styphate)의 경우는 이를 0.5% 이상 함유한 혼합물",#N/A
97-1-10,니켈 카르보닐[Nickel carbonyl; 13463-39-3] 및 이를 0.1% 이상 함유한 혼합물,13463-39-3
97-1-11,니코틴[Nicotine; 54-11-5]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,54-11-5
97-1-12,니트로벤젠[Nitrobenzene; 98-95-3] 및 이를 85% 이상 함유한 혼합물,98-95-3
97-1-13,다이아미다포스[Diamidafos; 1754-58-1] 및 이를 1% 이상 함유한 혼합물,1754-58-1
97-1-14,다이아지논[Diazinon; 333-41-5] 및 이를 1% 이상 함유한 혼합물,333-41-5
97-1-15,다이아펜티유론[Diafenthiuron; 80060-09-9] 및 이를 25% 이상 함유한 혼합물,80060-09-9
